ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,1,93,1258,1165
1,1,1,193,1207,1014
2,0,0,6,0,-6
3,0,0,35,0,-35
4,0,0,27,0,-27
5,1,0,9,0,-9
6,0,0,46,0,-46
7,0,0,249,0,-249
8,1,0,19,0,-19
9,0,0,135,0,-135
10,0,0,58,0,-58
11,0,0,50,0,-50
12,1,0,33,0,-33
13,0,0,24,0,-24
14,1,1,360,1456,1096
15,1,1,283,1229,946
16,1,0,91,0,-91
17,1,1,977,2018,1041
18,1,1,1177,1386,209
19,1,0,18,0,-18
20,1,0,117,0,-117
21,1,0,7,0,-7
22,1,1,165,1918,1753
23,1,0,12,0,-12
24,0,0,4,0,-4
25,1,1,890,1284,394
26,1,0,52,0,-52
27,0,0,21,0,-21
28,0,0,129,0,-129
29,0,0,5,0,-5
30,1,0,44,0,-44
31,0,0,11,0,-11
32,0,0,56,0,-56
33,0,0,4,0,-4
34,0,0,14,0,-14
35,0,0,61,0,-61
36,0,0,13,0,-13
37,0,0,9,0,-9
38,1,0,100,0,-100
39,1,0,6,0,-6
40,1,1,245,1323,1078
41,1,1,625,1331,706
42,1,0,9,0,-9
43,1,0,2,0,-2
44,1,1,453,1362,909
45,1,0,57,0,-57
46,1,0,5,0,-5
47,0,0,47,0,-47
48,0,0,50,0,-50
49,1,1,355,1274,919
50,0,0,14,0,-14
51,0,0,130,0,-130
52,0,0,20,0,-20
53,0,0,6,0,-6
54,0,0,73,0,-73
55,0,0,0,0,0
56,1,0,18,0,-18
57,1,1,475,1250,775
58,1,0,28,0,-28
59,1,0,28,0,-28
60,1,1,24,1278,1254
61,1,1,487,1736,1249
62,1,1,675,1209,534
63,1,0,94,0,-94
64,1,0,142,0,-142
65,0,0,37,0,-37
66,0,0,24,0,-24
67,0,0,14,0,-14
68,1,1,320,1869,1549
69,0,0,8,0,-8
70,1,0,19,0,-19
71,1,0,21,0,-21
72,0,0,2,0,-2
73,1,0,46,0,-46
74,1,0,114,0,-114
75,0,0,1,0,-1
76,0,0,48,0,-48
77,0,0,30,0,-30
78,1,0,0,0,0
79,0,0,52,0,-52
80,0,0,41,0,-41
81,1,1,384,1301,917
82,0,0,199,0,-199
83,0,0,0,0,0
84,1,1,918,1701,783
85,1,1,82,1395,1313
86,0,0,13,0,-13
87,1,0,46,0,-46
88,1,0,18,0,-18
89,1,0,60,0,-60
90,1,1,263,1743,1480
91,1,1,311,1742,1431
92,1,1,1154,1316,162
93,1,0,142,0,-142
94,1,0,45,0,-45
95,0,0,231,0,-231
96,0,0,34,0,-34
97,0,0,236,0,-236
98,1,1,366,1611,1245
99,1,0,40,0,-40
100,1,0,47,0,-47
101,0,0,58,0,-58
102,0,0,41,0,-41
103,1,0,11,0,-11
104,1,0,10,0,-10
105,1,1,444,1277,833
106,0,0,14,0,-14
107,1,0,119,0,-119
108,0,0,11,0,-11
109,0,0,126,0,-126
110,1,1,628,2026,1398
111,1,1,67,1340,1273
112,0,0,78,0,-78
113,1,1,1735,1598,-137
114,1,1,198,1220,1022
115,1,1,190,1874,1684
116,0,0,84,0,-84
117,1,0,50,0,-50
118,0,0,36,0,-36
119,1,0,16,0,-16
120,1,1,381,1210,829
121,1,1,3391,1233,-2158
122,1,0,92,0,-92
123,1,0,1,0,-1
124,0,0,2,0,-2
125,1,0,38,0,-38
126,1,0,15,0,-15
127,1,0,49,0,-49
128,1,1,199,2291,2092
129,0,0,27,0,-27
130,1,1,288,1385,1097
131,0,0,63,0,-63
132,1,0,121,0,-121
133,1,1,333,1213,880
134,1,1,317,1379,1062
135,1,0,74,0,-74
136,0,0,5,0,-5
137,1,0,59,0,-59
138,0,0,186,0,-186
139,1,1,578,1745,1167
140,1,0,3,0,-3
141,0,0,20,0,-20
142,1,0,16,0,-16
143,1,1,119,1605,1486
144,0,0,23,0,-23
145,1,0,4,0,-4
146,1,0,13,0,-13
147,0,0,1,0,-1
148,1,1,1094,2927,1833
149,1,0,30,0,-30
150,1,0,32,0,-32
151,1,0,39,0,-39
152,1,1,56,1227,1171
153,1,1,1443,1732,289
154,1,1,1640,1427,-213
155,0,0,69,0,-69
156,1,0,101,0,-101
157,0,0,78,0,-78
158,0,0,6,0,-6
159,0,0,68,0,-68
160,1,1,2153,1444,-709
161,0,0,94,0,-94
162,0,0,0,0,0
163,1,1,353,1337,984
164,1,1,772,1795,1023
165,1,0,62,0,-62
166,1,1,142,1616,1474
167,0,0,113,0,-113
168,0,0,116,0,-116
169,0,0,14,0,-14
170,1,0,10,0,-10
171,1,1,461,1493,1032
172,0,0,28,0,-28
173,0,0,57,0,-57
174,1,1,334,1428,1094
175,1,0,53,0,-53
176,0,0,68,0,-68
177,0,0,2,0,-2
178,1,0,40,0,-40
179,1,1,1473,1334,-139
180,0,0,6,0,-6
181,1,1,1129,1458,329
182,0,0,28,0,-28
183,1,0,24,0,-24
184,1,1,192,1369,1177
185,0,0,16,0,-16
186,1,1,40,1222,1182
187,0,0,76,0,-76
188,0,0,38,0,-38
189,1,0,37,0,-37
190,1,1,181,1317,1136
191,0,0,29,0,-29
192,1,1,576,1274,698
193,0,0,2,0,-2
194,0,0,116,0,-116
195,0,0,18,0,-18
196,1,0,8,0,-8
197,1,0,5,0,-5
198,1,0,10,0,-10
199,1,1,1239,1220,-19
200,1,0,43,0,-43
201,0,0,37,0,-37
202,0,0,151,0,-151
203,1,0,32,0,-32
204,0,0,235,0,-235
205,1,1,153,1382,1229
206,1,0,122,0,-122
207,1,0,20,0,-20
208,0,0,91,0,-91
209,0,0,17,0,-17
210,1,0,12,0,-12
211,1,0,10,0,-10
212,1,0,4,0,-4
213,1,1,520,1431,911
214,1,0,170,0,-170
215,1,0,18,0,-18
216,1,0,21,0,-21
217,1,1,168,1372,1204
218,1,1,163,1233,1070
219,0,0,25,0,-25
220,0,0,6,0,-6
221,1,1,331,1277,946
222,1,1,1356,1369,13
223,1,0,103,0,-103
224,1,1,196,1202,1006
225,1,1,639,1300,661
226,1,0,51,0,-51
227,0,0,22,0,-22
228,0,0,19,0,-19
229,1,1,455,1499,1044
230,0,0,11,0,-11
231,0,0,289,0,-289
232,1,0,60,0,-60
233,1,1,209,1219,1010
234,1,1,174,3452,3278
235,1,0,15,0,-15
236,1,0,6,0,-6
237,0,0,47,0,-47
238,1,0,2,0,-2
239,1,0,168,0,-168
240,1,1,583,1440,857
241,1,0,1,0,-1
242,0,0,114,0,-114
243,1,1,89,1916,1827
244,0,0,50,0,-50
245,1,1,293,1218,925
246,0,0,173,0,-173
247,1,1,1395,1212,-183
248,0,0,49,0,-49
249,1,1,418,1406,988
250,1,0,13,0,-13
251,1,0,19,0,-19
252,1,1,177,2155,1978
253,0,0,7,0,-7
254,0,0,64,0,-64
255,1,1,664,1473,809
256,0,0,21,0,-21
257,1,0,8,0,-8
258,1,1,8,2344,2336
259,1,0,20,0,-20
260,1,1,111,1237,1126
261,1,0,31,0,-31
262,1,1,1837,1251,-586
263,1,0,15,0,-15
264,1,0,4,0,-4
265,1,1,57,1533,1476
266,1,0,3,0,-3
267,1,1,1304,1692,388
268,1,0,81,0,-81
269,1,1,234,1502,1268
270,0,0,153,0,-153
271,1,1,445,2309,1864
272,1,1,102,1917,1815
273,1,0,33,0,-33
274,0,0,50,0,-50
275,0,0,13,0,-13
276,1,1,1033,1338,305
277,1,1,743,1507,764
278,1,0,21,0,-21
279,1,1,840,1509,669
280,1,0,64,0,-64
281,0,0,142,0,-142
282,0,0,0,0,0
283,1,0,246,0,-246
284,0,0,121,0,-121
285,1,0,37,0,-37
286,1,0,25,0,-25
287,1,0,138,0,-138
288,0,0,64,0,-64
289,0,0,62,0,-62
290,1,0,22,0,-22
291,0,0,15,0,-15
292,0,0,13,0,-13
293,1,0,87,0,-87
294,1,1,450,1327,877
295,1,1,374,2154,1780
296,0,0,22,0,-22
297,0,0,76,0,-76
298,0,0,32,0,-32
299,1,1,551,1295,744
300,1,1,347,1604,1257
301,1,1,236,1422,1186
302,0,0,31,0,-31
303,0,0,9,0,-9
